,Product_Name,Source,Ratings,Brand,Price,Actual_price,Category
1570,HYPHER  UNINTERN JOBS PRIVATE LIMITED Basic Television Tv 24 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/58/d8/front4copy2.jpg.41852a58d8.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,000.00","14,990.00",Television TV 
1571,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/56/d6/1.2.jpg.7ed42e56d6.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,970.00","29,900.00",Television TV 
1572,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/ee/5a/front1copy2copy.jpg.3f8a33ee5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"9,971.00","21,990.00",Television TV 
1573,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/bd/d2/0.5.jpg.f19920bdd2.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,972.00","29,900.00",Television TV 
1574,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/bb/5a/front5copycopy.jpg.68982abb5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"9,974.00","21,990.00",Television TV 
1575,VOLTRIQ Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/6408256/b3/2c/1.7.jpg.f3350bb32c.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,975.00","29,900.00",Television TV 
1576,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/4673235/10/e7/front3copy2.jpg.62cb6a10e7.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"9,976.00","21,990.00",Television TV 
1577,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/d3/29/1.97.jpg.7989a2d329.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,078.00","29,900.00",Television TV 
1578,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/ee/5a/front1copy2copy.jpg.3f8a33ee5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,081.00","40,000.00",Television TV 
1579,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/5f/da/frontcopy2.jpg.9d6a915fda.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,084.00","21,990.00",Television TV 
1580,Wybor Basic Television Tv 24 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/2340037/53/51/55flimagefrontview.jpg.9839ff5351.999x185x185.jpg,4.5 - 5.0,Wybor,"10,192.00","13,590.00",Television TV 
1581,TRION Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/7102866/2b/48/ledtvimage43inch.jpeg.5186fa2b48.999x185x185.jpg,4.0 - 4.49,TRION,"10,290.00","18,926.00",Television TV 
